"Deck ID","Deck URL","Colours"
"The Ruinous Powers (Warhammer 40,000 Commander Collector","https://moxfield.com/decks/ZXMJy7aYMEa7Zbxs9GZEmA","Black,Blue,Red"
"The Ruinous Powers (Warhammer 40,000 Commander Precon De","https://moxfield.com/decks/Co8GiCNRIUqzCJBzpdRaAg","Black,Blue,Red"
"Timeless Wisdom","https://moxfield.com/decks/FoYllHo-K0WwAeO4uX5uLg","Blue,Red,White"
"Timey-Wimey","https://moxfield.com/decks/fj8Av0UofkOhiyBAPSOwJw","Blue,Red,White"
"Tinker Time (March of the Machine Commander Precon Deckl","https://moxfield.com/decks/-QW0UquytEiCFJE72zE59w","Blue,Green,Red"
"Token Triumph","https://moxfield.com/decks/s-gC4gfPC0eVReuXm2Eo7w","Green,White"
"Tricky Terrain (Modern Horizons 3 Commander Precon Deckl","https://moxfield.com/decks/GBX3VBGJH0ezo5sOEy53aQ","Blue,Green"
"Tricky Terrain Collector's Edition (Modern Horizons 3 Co","https://moxfield.com/decks/TumgjYGGdECEru1sfjRoGw","Blue,Green"
"Tyranid Swarm (Warhammer 40,000 Commander Collector's Ed","https://moxfield.com/decks/tKMx4ukpM0iVdEWPnlRLkw","Blue,Green,Red"
"Tyranid Swarm (Warhammer 40,000 Commander Precon Decklis","https://moxfield.com/decks/IXssBxzerEmQEWWklVWQtA","Blue,Green,Red"
"Undead Unleashed (Innistrad: Midnight Hunt Commander 202","https://moxfield.com/decks/DzZRd4RZDEWK4FwRJdSccw","Black,Blue"
"Upgrades Unleashed (Kamigawa: Neon Dynasty Commander Pre","https://moxfield.com/decks/_r0Tk4XqbEOws8IjeFPDlw","Green,Red"
"Urza's Iron Alliance (The Brothers' War Commander Precon","https://moxfield.com/decks/yvrb9gEkuUSVBT0ulhjxfA","Black,Blue,White"
"Vampiric Bloodline (Innistrad: Crimson Vow Commander Pre","https://moxfield.com/decks/lava2X1Op0aSeUHhPC5cfQ","Black,Red"
"Vampiric Bloodlust","https://moxfield.com/decks/dne9B6FNGk2I86ppJ3iK5Q","Black,Red,White"
"Veloci-Ramp-Tor (The Lost Caverns of Ixalan Commander Pr","https://moxfield.com/decks/viXU1nCwOkmTU5FGQu8MFw","Green,Red,White"
"Virtue and Valor (Wilds of Eldraine Commander Precon Dec","https://moxfield.com/decks/KnMheGE4ykelGVpKNvopNw","Green,White"
"Wade Into Battle","https://moxfield.com/decks/xVx32XM5BkWiriossGKFww","Red,White"
"Wade Into Battle","https://moxfield.com/decks/mxn1Iad46kSGT5NR6N_3_g","Red,White"
"Witherbloom Witchcraft","https://moxfield.com/decks/6WeWU_rriEaCGPmJ2l1e1g","Black,Green"
"World Shaper (Edge of Eternities Commander Precon Deckli","https://moxfield.com/decks/z4iIQoHd4ECI0GNv5H1u3g","Black,Green,Red"
